Country,TotalCases,New_Cases,TotalDeaths,New_Deaths,Total_Recovered,Active_Cases,Serious_or_Critical,Tot_cases_per_million_pop,id
Total:,"1,55,834",10363,5814,398,74279,75741,5925,20,151
China,80824,11,3189,13,65573,12062,3610,56.2,16
Italy,21157,3497,1441,175,1966,17750,1518,349.9,1
Iran,12729,1365,611,97,4339,7779,0,151.5,5
S. Korea,8086,107,72,5,714,7300,59,157.7,4
Spain,6315,1083,193,60,517,5605,293,135.1,7
Germany,4525,850,8,0,46,4471,9,54,18
France,4499,838,91,12,12,4396,154,68.9,14
USA,2499,252,55,6,49,2395,10,7.5,38
Switzerland,1375,236,13,2,4,1358,0,158.9,3
UK,1140,342,21,10,18,1101,20,16.8,28
Norway,1075,79,2,1,1,1072,27,198.3,2
Sweden,961,147,2,1,1,958,2,95.2,10
Netherlands,959,155,12,2,2,945,45,56,17
Denmark,827,23,1,1,1,825,2,142.8,6
Japan,804,70,22,1,122,660,35,6.4,42
Diamond Princess,696,0,7,0,325,364,32,0,111
Belgium,689,130,4,1,1,684,24,59.4,15
Austria,655,151,1,0,6,648,1,72.7,13
Qatar,337,17,0,0,4,333,0,117,9
Australia,248,49,3,0,27,218,1,9.7,33
Malaysia,238,41,0,0,35,203,4,7.4,40
Greece,228,38,3,2,2,223,5,21.9,23
Finland,225,70,0,0,1,224,0,40.6,19
Canada,225,27,1,0,11,213,1,6,45
Bahrain,212,2,0,0,60,152,2,124.6,8
Singapore,212,12,0,0,105,107,11,36.2,20
Czechia,189,48,0,0,0,189,2,17.6,26
Slovenia,181,40,1,1,0,180,3,87.1,11
Israel,178,35,0,0,4,174,3,20.6,24
Portugal,169,57,0,0,2,167,10,16.6,29
Iceland,156,22,0,0,0,156,0,0,112
Brazil,151,0,0,0,1,150,2,0.7,81
Hong Kong,142,10,4,0,81,57,4,18.9,25
Ireland,129,39,2,1,0,127,6,26.1,21
Romania,116,21,0,0,9,107,1,6,46
Estonia,115,36,0,0,0,115,0,86.7,12
Philippines,111,47,8,3,2,101,1,1,71
Iraq,110,9,10,1,26,74,0,2.7,58
Kuwait,104,4,0,0,5,99,4,24.4,22
Saudi Arabia,103,17,0,0,1,102,0,3,54
San Marino,101,21,5,0,4,92,3,0,113
India,97,15,2,0,10,85,0,0.1,98
Indonesia,96,27,5,1,8,83,0,0.4,86
Lebanon,93,16,3,0,1,89,3,13.6,31
Poland,93,25,2,0,0,91,3,2.5,60
Egypt,93,0,2,0,27,64,0,0.9,75
UAE,85,0,0,0,20,65,2,8.6,35
Thailand,82,7,1,0,35,46,1,1.2,67
Chile,61,18,0,0,0,61,0,3.2,52
Russia,59,14,0,0,8,51,0,0.4,87
Taiwan,53,3,1,0,20,32,0,2.2,61
Vietnam,53,9,0,0,16,37,0,0.5,83
Luxembourg,51,13,1,0,0,50,0,0,114
Serbia,46,11,0,0,0,46,0,5.3,49
Slovakia,44,12,0,0,0,44,0,8.1,37
Bulgaria,41,10,2,1,0,39,0,5.9,47
Brunei,40,3,0,0,0,40,0,0,115
Albania,38,5,1,0,0,37,0,13.2,32
Croatia,38,6,0,0,1,37,0,9.3,34
Palestine,38,3,0,0,0,38,0,7.4,41
Peru,38,0,0,0,0,38,0,1.2,68
South Africa,38,14,0,0,0,38,0,0.6,82
Algeria,37,11,3,1,10,24,0,0.8,78
Panama,36,9,1,0,0,35,0,8.3,36
Argentina,34,0,2,0,0,32,0,0.8,79
Pakistan,31,3,0,0,2,29,0,0.1,99
Georgia,30,5,0,0,0,30,0,7.5,39
Hungary,30,11,0,0,1,29,0,3.1,53
Ecuador,28,5,1,0,0,27,0,1.6,62
Belarus,27,0,0,0,3,24,0,2.9,56
Latvia,26,9,0,0,1,25,0,13.8,30
Costa Rica,26,3,0,0,0,26,0,5.1,50
Mexico,26,11,0,0,4,22,0,0.2,96
Colombia,22,6,0,0,0,22,0,0.4,88
Cyprus,21,7,0,0,0,21,0,17.4,27
Senegal,21,0,0,0,2,19,0,1.3,66
Oman,19,0,0,0,9,10,0,3.7,51
Armenia,18,10,0,0,0,18,0,6.1,44
Bosnia and Herzegovina,18,0,0,0,0,18,0,5.5,48
Tunisia,18,2,0,0,0,18,0,1.5,63
Malta,18,6,0,0,1,17,0,0,116
Morocco,17,10,1,0,1,15,0,0.5,84
Azerbaijan,15,0,1,0,3,11,0,1.5,64
North Macedonia,13,0,0,0,1,12,0,6.2,43
Moldova,12,6,0,0,0,12,0,3,55
Dominican Republic,11,6,0,0,0,11,0,1,72
Afghanistan,11,4,0,0,0,11,0,0.3,92
Bolivia,10,0,0,0,0,10,0,0.9,76
Sri Lanka,10,4,0,0,1,9,0,0.5,85
Macao,10,0,0,0,10,0,0,0,117
Maldives,10,1,0,0,0,10,0,0,118
Faeroe Islands,9,6,0,0,0,9,0,0,119
Lithuania,8,2,0,0,1,7,0,2.9,57
Jamaica,8,0,0,0,0,8,0,2.7,59
Paraguay,7,1,0,0,0,7,0,1,73
Cambodia,7,0,0,0,1,6,0,0.4,89
French Guiana,7,1,0,0,0,7,0,0,120
New Zealand,6,0,0,0,0,6,0,1.2,69
Kazakhstan,6,2,0,0,0,6,0,0.3,93
Martinique,6,3,0,0,0,6,0,0,121
Réunion,6,1,0,0,0,6,0,0,122
Turkey,5,0,0,0,0,5,0,0.1,100
Bangladesh,5,2,0,0,2,3,0,0,123
Uruguay,4,0,0,0,0,4,0,1.2,70
Cuba,4,0,0,0,0,4,0,0.4,90
Liechtenstein,4,0,0,0,0,4,0,0,124
Puerto Rico,3,0,0,0,0,3,0,1,74
Honduras,3,1,0,0,0,3,0,0.3,94
Ukraine,3,0,1,0,0,2,0,0.1,101
Channel Islands,3,0,0,0,0,3,0,0,125
French Polynesia,3,0,0,0,0,3,0,0,126
Trinidad and Tobago,2,1,0,0,0,2,0,1.4,65
Namibia,2,2,0,0,0,2,0,0.8,80
Burkina Faso,2,0,0,0,0,2,0,0.1,102
Cameroon,2,0,0,0,0,2,0,0.1,103
Ghana,2,0,0,0,0,2,0,0.1,104
Venezuela,2,0,0,0,0,2,0,0.1,105
Monaco,2,0,0,0,0,2,0,0,127
Nigeria,2,0,0,0,0,2,0,0,128
Aruba,2,0,0,0,0,2,0,0,129
DRC,2,0,0,0,0,2,0,0,130
Saint Martin,2,0,0,0,0,2,0,0,131
Eswatini,1,1,0,0,0,1,0,0.9,77
Gabon,1,0,0,0,0,1,0,0.4,91
Mongolia,1,0,0,0,0,1,0,0.3,95
Mauritania,1,0,0,0,0,1,0,0.2,97
Jordan,1,0,0,0,1,0,0,0.1,106
Guatemala,1,0,0,0,0,1,0,0.1,107
Guinea,1,0,0,0,0,1,0,0.1,108
Rwanda,1,1,0,0,0,1,0,0.1,109
Togo,1,0,0,0,0,1,0,0.1,110
Guyana,1,0,1,0,0,0,0,0,132
Sudan,1,0,1,0,0,0,0,0,133
Andorra,1,0,0,0,0,1,0,0,134
Nepal,1,0,0,0,1,0,0,0,135
Antigua and Barbuda,1,0,0,0,0,1,0,0,136
Bhutan,1,0,0,0,0,1,0,0,137
Cayman Islands,1,0,0,0,0,1,0,0,138
Ivory Coast,1,0,0,0,0,1,0,0,139
Curaçao,1,0,0,0,0,1,0,0,140
Ethiopia,1,0,0,0,0,1,0,0,141
Gibraltar,1,0,0,0,1,0,0,0,142
Guadeloupe,1,0,0,0,0,1,0,0,143
Vatican City,1,0,0,0,0,1,0,0,144
Kenya,1,0,0,0,0,1,0,0,145
St. Barth,1,0,0,0,0,1,0,0,146
Saint Lucia,1,0,0,0,0,1,0,0,147
St. Vincent Grenadines,1,0,0,0,0,1,0,0,148
Suriname,1,0,0,0,0,1,0,0,149
U.S. Virgin Islands,1,1,0,0,0,1,0,0,150
